folder,matched rgb,avarage_rgb_iou,matched thermal,avarage_thermal_iou,baseline
2025-04-11_23-37-03-503442,0,0,0,0,0
2025-03-06_11-38-01-680185,5,0.79063845872879,1,0.136150395870209,5
2025-04-02_15-29-56-680044,0,0,0,0,0
2025-04-12_12-44-46-462563,1,0.444848239421845,1,0.442555010318756,2
2025-04-11_23-36-20-629734,1,0.845448911190033,1,0.936821222305298,1
2025-03-20_13-52-23-853273,1,0.468551933765411,2,0.916128277778626,2
2025-04-12_12-37-14-101616,1,0.461353570222855,0,0,2
2025-04-14_15-57-59-737140,2,0.456504181027412,2,0.443828925490379,4
2025-04-12_12-40-02-738436,1,0.867587447166443,1,0.773066401481628,1
2025-04-14_15-43-45-174888,0,0,0,0,0
2025-04-12_12-37-20-663306,0,0,0,0,1
2025-03-06_11-37-11-244921,0,0,0,0,1
2025-04-12_12-36-27-920941,2,0.886870682239533,2,0.746542513370514,2
2025-04-14_15-52-50-898254,0,0,0,0,1
2025-04-11_23-34-57-446652,0,0,1,0.666706204414368,1
2025-04-10_14-58-31-151642,1,0.939400255680084,1,0.95664244890213,1
2025-04-10_15-12-31-062414,2,0.832384794950485,1,0.324061304330826,2
2025-04-12_12-13-01-082938,2,0.440692022442818,1,0.228362023830414,4
2025-03-24_14-11-09-979662,2,0.378617227077484,1,0.210232898592949,4
2025-04-12_12-22-57-771437,1,0.475688010454178,0,0,2
2025-04-11_23-34-48-852038,1,0.315513451894124,1,0.307646115620931,3
2025-03-18_12-43-02-113652,1,0.951996624469757,0,0,1
2025-04-14_15-56-22-327489,1,0.46150878071785,0,0,2
2025-03-24_13-56-50-226402,4,0.725420820713043,3,0.508157932758331,5
2025-04-12_12-55-10-541778,0,0,0,0,1
2025-04-09_09-26-49-215779,3,0.492764461040497,3,0.498814082145691,5
2025-03-06_11-52-31-345948,2,0.357162579894066,0,0,4
2025-03-18_12-44-23-204021,1,0.120226994156837,0,0,8
2025-04-11_23-00-37-456770,0,0,1,0.262632330258687,3
2025-03-06_11-38-20-081916,2,0.421606242656708,1,0.197391539812088,4
2025-04-12_12-53-28-428203,0,0,0,0,1
2025-03-24_14-01-13-214574,2,0.924481898546219,0,0,2
2025-04-12_12-23-52-253479,1,0.470573246479034,1,0.473750770092011,2
2025-03-06_11-52-02-653145,0,0,0,0,1
2025-04-11_23-40-29-612351,0,0,0,0,0
2025-03-24_14-14-35-835516,1,0.183248734474182,1,0.186243379116058,5
2025-03-18_08-26-20-580943,1,0.310606300830841,0,0,3
2025-03-24_14-03-24-895006,1,0.696084916591644,1,0.950175881385803,1
2025-03-06_11-40-25-733889,2,0.911083579063416,0,0,2
2025-04-11_23-37-45-597052,0,0,0,0,0
2025-04-11_22-57-03-131683,0,0,2,0.644269426663717,3
2025-04-02_15-23-08-355402,2,0.587891777356466,2,0.524506549040476,3
2025-03-19_15-44-05-843106,0,0,0,0,1
2025-04-14_15-49-16-668137,2,0.80129873752594,0,0,2
2025-04-11_23-44-05-429087,1,0.254908412694931,0,0,2
2025-03-06_11-54-29-998069,3,0.498061299324036,2,0.320644545555115,5
2025-04-14_15-36-55-172260,1,0.916444838047028,0,0,1
2025-03-19_15-37-21-025630,3,0.294420666164822,2,0.078322222,9
2025-04-02_15-24-38-206689,5,0.841927599906921,0,0,5
2025-04-11_22-58-15-671814,2,0.775757044553757,0,0,2
2025-04-12_12-33-13-812072,1,0.198431491851807,1,0.203973472118378,4
2025-04-10_15-15-49-864741,2,0.388861268758774,2,0.407945275306702,4
2025-04-12_12-21-19-288158,1,0.915439486503601,1,0.905087172985077,1
2025-04-11_23-31-53-985983,0,0,0,0,2
2025-03-18_12-46-24-641832,1,0.477427572011948,0,0,2
2025-03-24_14-14-16-187470,4,0.498080125876835,1,0.0823400957243783,7
2025-03-20_13-45-28-801596,1,0.182622921466827,0,0,5
2025-03-18_12-44-47-943850,2,0.621453007062276,1,0.311781982580821,3
2025-03-20_13-44-43-444911,0,0,0,0,11
2025-03-24_14-13-27-230802,2,0.240620885576521,0,0,7
